Qtime,Qindustry,Qtitle,Qwork_title,Qlanguages,Qfirst_language,Qr_experience,Qr_year,Qtime_to_proficiency,Qr_learning_path,Qreason_to_learn,Qr_use,Qr_length_to_success,Qr_difficulty,Qr_reason_experienced,Qr_how_often_used,Qr_enjoyment,Qr_difficulty_experienced,Qtidyverse_learning,Qtidyverse_today,Qshiny,Qunit_tests,Qlike_best,Qlike_least,Qrecommend,Qused_for,Qmost_difficult_aspect,blank_question,Qnot_live_without,Qcapability_missing,Qtools,Qchange_one_thing,Qyear_born,Qgender,Qcountry,Qethnicity,Qdegree,Qteam_r_users,Qversion_control,Qtools_with_r,Qobstacles_to_starting,Qbiggest_difficulty,Qhow_to_learn_r,learner_type,Qgender_coded
2018-12-06T15:50:11Z,Research,Senior researcher,Researcher,"Excel, Python, SPSS",SPSS,Intermediate,2011,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,3,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,The flexibility of R and the community around R,Inconsistencies in conventions between packages,10,"Statistical analysis, Data transformation, Visualization, Survey analysis",NA,NA,Tidyverse,NA,NA,NA,1983,male,Germany,White,"Doctorate (e.g. PhD, EdD)",5,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Jupyter Notebooks, Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), SPSS",NA,"Error messages, Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T15:50:44Z,"Government Services (Federal, State, or Local)",Hydroecologist,Data scientist or analyst,Excel,Excel,Intermediate,2011,Months,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,4,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",I don't know what unit tests are,Graphics,Data types,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,ggplot,Not sure,NA,Not sure,1969,NA,United Kingdom,NA,"Doctorate (e.g. PhD, EdD)",2,I don't know what version control is.,"Microsoft Excel, RStudio Desktop (IDE), Shinyapps.io",NA,"Data types, Error messages, Language syntax, Language irregularities",NA,Early Learner,NA
2018-12-06T15:50:59Z,Financial Services and Activities,Data scientist,Data scientist or analyst,"C/C++, Excel, SPSS, Visual Basic",Excel,Expert,2015,Years,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,4,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,"Flexibility, reproducibility, community, documentation",Python seems more versatile,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis, Financial analysis",NA,NA,dplyr & ggplot2,scikitlearn,NA,NA,1990,male,NA,White,"Doctorate (e.g. PhD, EdD)",10,Never -- I don't use version control for my R code,"RStudio Desktop (IDE), Shinyapps.io",NA,"Getting started, Language syntax",NA,Early Learner,male
2018-12-06T15:51:01Z,Research,Ph.D candidate,Student,"Excel, Python",Excel,Intermediate,2014,Years,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,4,Yes,Usually,Never -- I don't use Shiny.,I don't know what unit tests are,Flexibility,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,Tidyverse,NA,NA,Plain language error message,1993,male,South Africa,White,"Master’s degree (e.g. MA, MS, MEd)",2,I don't know what version control is.,RStudio Desktop (IDE),NA,Error messages,NA,Early Learner,male
2018-12-06T15:51:58Z,Financial Services and Activities,Data scientist,Researcher,"Matlab, Python, SAS, Tableau",SAS,Expert,2011,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,"Easy syntax, intuitive programming, many capabilities",interferences of common function names from different packages,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Financial analysis",NA,NA,"Caret, dplyr, forecast, quantmod",NA,NA,NA,NA,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",NA,Never -- I don't use version control for my R code,"Jupyter Notebooks, RStudio Desktop (IDE)",NA,"Error messages, Language irregularities",NA,Early Learner,male
2018-12-06T15:52:06Z,Education,Research assistant,Student,"Excel, Python, SPSS",Excel,Intermediate,2016,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,2,No,Never,I don't know what Shiny is.,Never -- I don't write unit tests,Modeling,Data processing,10,"Statistical analysis, Modeling, Visualization, Machine learning, Text processing",NA,NA,Dplyr,NA,NA,NA,1982,male,United States of America,Black/African,"Master’s degree (e.g. MA, MS, MEd)",5,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Documentation, Error messages, Language syntax",NA,Early Learner,male
2018-12-06T15:52:34Z,Utilities,Data architect,Software developer,"C/C++, Excel, Java, Javascript, Python",C/C++,Intermediate,2010,Months,"Using several books, online courses and on the job",NA,NA,NA,NA,I was personally interested,More than once a day,4,2,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,"Tidyverse, Rstudio, ggplot","Base language, base data types, lack of consistency in package interfaces, package conflicts",9,"Statistical analysis, Data transformation, Visualization",NA,NA,"Dplyr, ggplot2, readr",Logging,NA,Learning tidyverse first,1974,NA,Argentina,"White, Native American","Master’s degree (e.g. MA, MS, MEd)",12,Frequently -- I use version control on most of the code that I write,"Jupyter Notebooks, Matlab, Microsoft Excel, Python, RStudio Desktop (IDE), RStudio Server",NA,"Finding proper packages to use, Language syntax, Managing packages",NA,Early Learner,NA
2018-12-06T15:52:40Z,Research,Project Researcher,Researcher,"C/C++, Excel, Matlab, Python, Visual Basic",Visual Basic,Expert,2011,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was required for my work,More than once a day,5,2,No,Usually,Frequently -- I frequently use or build Shiny applications,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Survey analysis",NA,NA,NA,NA,NA,NA,1984,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",10,Frequently -- I use version control on most of the code that I write,"RStudio Desktop (IDE), Shinyapps.io",NA,"Data types, Error messages, Managing packages",NA,Early Learner,male
2018-12-06T15:53:15Z,Research,PhD student,Student,"C/C++, Excel, Javascript, PHP, Python, Ruby",C/C++,Intermediate,2013,Months,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,It was part of a course I took,More than once a day,5,2,Yes,Usually,Never -- I don't use Shiny.,Rarely -- I only write unit tests in situations that require it,"the  facolity top do data analysis, trial and errors, community",re-installing packages after R upgrades,9,"Statistical analysis, Data transformation, Modeling, Visualization, Genomics, Medicine",NA,NA,magrittr,development of command line tools,NA,making more explicit that everything is a vector in the command line,1991,male,Ireland,White,"Master’s degree (e.g. MA, MS, MEd)",10,Frequently -- I use version control on most of the code that I write,"Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Finding proper packages to use, Language irregularities",NA,Early Learner,male
2018-12-06T15:53:36Z,Information Technologies,Working Student / Intern,Software developer,"Java, Javascript, Python",Java,Intermediate,2017,Months,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,It was required for my work,More than once a day,4,2,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,Package ecosystem,"Modularizing code, environments",8,"Statistical analysis, Modeling, Visualization, Financial analysis",NA,NA,"Data.table,","A package with the speed of Data.table but better, more intuitive syntax",NA,More examples in the Package documentation,1993,male,Germany,White,"Bachelor’s degree (e.g. BA, BS)",1,Frequently -- I use version control on most of the code that I write,"RStudio Desktop (IDE), Shiny Server",NA,"Language syntax, Language irregularities, know knowing the things I don‘t know. So basically being unexperienced",NA,Recent Learner,male
2018-12-06T15:54:10Z,Health Care and Medicine,MD/PhD student,Researcher,"Excel, Java, Matlab, Python",Java,Intermediate,2014,Weeks,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,"I wanted to use a specific R package (e.g., ggplot2, caret, rmarkdown)",Between once a day and once a week,4,2,No,Never,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,NA,NA,9,"Statistical analysis, Visualization, Genomics, Clinical trials",NA,NA,NA,NA,NA,NA,1990,female,United States of America,NA,"Master’s degree (e.g. MA, MS, MEd)",5,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Microsoft Excel, Python, RStudio Desktop (IDE), Shinyapps.io",NA,"Data types, Error messages, Using the R command line interface",NA,Early Learner,female
2018-12-06T15:56:01Z,Manufacturing,Quality Data Analyst,Data scientist or analyst,"Excel, Matlab, Tableau, Visual Basic",Visual Basic,Intermediate,2016,Months,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,3,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,Flexibility - having multiple ways of doing things.,Can sometimes get confusing when different packages use different syntax.,10,"Data transformation, Visualization",NA,NA,Dplyr - I constantly use it to some degree for everything.,That is hard to answer.  Just because I don’t know about it does not mean that it doesn’t exist.,NA,"Being able to relate Excel to R is what got me over the hump, once I could do that I started learning extremely fast.  Anything that can be used to relate to something people already know would help a lot.",1971,male,United States of America,White,"Some college or university, no college degree",0,Never -- I don't use version control for my R code,"Jupyter Notebooks, Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,Getting started,NA,Early Learner,male
2018-12-06T15:57:45Z,Health Care and Medicine,Analytical Consultant,Data scientist or analyst,"Excel, Matlab, Python, SAS, SPSS, Tableau, Stata",Stata,Intermediate,2014,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,2,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",I don't know what unit tests are,tidyverse R is the most fluid translation of my thoughts into code,when there is no tidyverse solution to my problem and I have to use base R,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,dplyr,"a unified tidy modeling package, like tidyverse and caret had a baby",NA,"documentation and examples, but those are much better now",1988,male,United States of America,Prefer not to answer,"Master’s degree (e.g. MA, MS, MEd)",10,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Data types, Finding proper packages to use, Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T15:59:31Z,Research,Data Scientist,Data scientist or analyst,"C/C++, Java, Javascript, Python, Ruby, SAS",R,Expert,2009,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was required for my work,More than once a day,5,3,No,Usually,Frequently -- I frequently use or build Shiny applications,Frequently -- I write unit tests for most of the code that I write,"The freedom and power of the language- even if that makes it more ""dangerous"". If I wanted a far more strictly typed language there are a million to choose from. Also coming from a stats background, it's just psychologically unsettling to me that in some other languages you have to explicitly load math libraries to perform some of the most rudimentary algebra operations. That tells me that R is where I ought to be. Other languages are TOO general to be ideal for my uses and are becomes more generally powerful all the time.","That too many people from other backgrounds are afraid of it. People will encounter it once in, say, an intro stats course from 15 years ago, and then choose to imagine that nothing has changed since. The language gets an undue bad rap from people who are misinformed and/or biased. It's hard to change the workplace and professional cultures that border, but are as yet uninvolved, with the world of R. The more critical mass it can achieve, the better. It's not an R problem so much as a problem of education and marketing.",10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,package development tools,NA,NA,inconsistent syntax in base R I was stuck with years ago.,1981,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",0,Frequently -- I use version control on most of the code that I write,"R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), Shinyapps.io, Shiny Server",NA,Finding proper packages to use,NA,Early Learner,male
2018-12-06T16:01:18Z,Research,Senior scientist,Researcher,"Excel, Matlab, Python, SPSS",C/C++,Expert,2003,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,Tidyverse and the community around it,Error messages,10,"Statistical analysis, Data transformation, Modeling, Visualization, Clinical trials, Experimental data",NA,NA,Tidyverse,NA,NA,NA,1975,m,Netherlands,White,"Doctorate (e.g. PhD, EdD)",10,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, R Command Line (i.e., the native R terminal interface), Shiny Server",NA,"Error messages, Getting started, Language irregularities, Using the R command line interface",NA,Early Learner,male
2018-12-06T16:02:16Z,"Government Services (Federal, State, or Local)",Budget Analyst,Administration,"Excel, Matlab, Python, SPSS, Qlikview",R,Intermediate,2012,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,4,3,No,Usually,Never -- I don't use Shiny.,Sometimes -- I write unit tests when I have code that is critical to my project or work,dplyr/tidyverse verbs and Rstudio,"Absolutety hate ""<-"", especially its behavior when using inside new functions. Poor (default) OO system.",6,"Data transformation, Visualization",NA,NA,dplyr,"A good, unified machine learning framework. I dont feel like tidymodels packages are such. Maybe mlr3 fills the gap. R is falling way behing Python on machine learning (eg Keras).",NA,ship dplyr in base R,1986,male,Brazil,White,"Master’s degree (e.g. MA, MS, MEd)",5,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, Python, RStudio Desktop (IDE)",NA,"Error messages, Getting started, Language irregularities",NA,Early Learner,male
2018-12-06T16:03:21Z,Research,Fisheries scientist,Researcher,"C/C++, Excel, Python, Visual Basic",Excel,Intermediate,2014,Weeks,On the job,NA,NA,NA,NA,It was required for my work,More than once a day,4,2,No,Occasionally,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,Flexibility,Useless error messages,9,"Statistical analysis, Data transformation, Modeling, Visualization, Genomics, Survey analysis",NA,NA,Raster,Decent raster handling in ggplot for multi layer raster plots,NA,Simple examples that do not include foo (wtf is foo),1988,NA,Australia,White,"One or more graduate courses, no graduate degree",30,Frequently -- I use version control on most of the code that I write,"RStudio Desktop (IDE), RStudio Server Pro, Shinyapps.io, Shiny Server",NA,Error messages,NA,Early Learner,NA
2018-12-06T16:03:47Z,Health Care and Medicine,postdoc,Researcher,None,R,Intermediate,2005,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,whatever you want to solve - there is a package for it in R,Package dependencies,10,"Statistical analysis, Data transformation, Modeling, Visualization, Genomics",NA,NA,ggplot2,Connection to !R users. For example Rmarkdown and knitr are great - but often don't not work in a collaborative setting. And so either you work alone or you make the compromise of working with another tool.,NA,having r studio from the beginning (import data interface is a feature!) and learning tidyverse from the beginning.,1985,female,Switzerland,White,"Doctorate (e.g. PhD, EdD)",2,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,Data types,NA,Early Learner,female
2018-12-06T16:04:10Z,Information Technologies,President,Software developer,"C/C++, Excel, Java, Javascript, Matlab, PHP, Python, Ruby, SAS, Visual Basic, Julia",Fortran,Intermediate,2015,Weeks,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,It was part of a course I took,Between once a day and once a week,5,3,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Sometimes -- I write unit tests when I have code that is critical to my project or work,The interactivity,Performance is sometimes an issue,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,tidyverse,NA,NA,NA,1957,male,United States of America,White,"Professional degree (e.g. MD, DDS, DVM)",5,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, Jupyter Notebooks, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Data types, Finding proper packages to use, Language irregularities, $, [, and [[ confused me greatly",NA,Early Learner,male
2018-12-06T16:05:37Z,Education,student,Student,"Excel, Ruby, SAS, SPSS, Tableau",Excel,Intermediate,2015,I don't feel proficient in R yet.,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a week and once a month,5,3,Yes,Usually,I don't know what Shiny is.,Never -- I don't write unit tests,transparency and replicability,package documentation is inconsistent and often lacking,10,"Statistical analysis, Data transformation, Modeling",NA,NA,Tidyverse,easy to use single-case design graphing tools,NA,NA,1987,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",3,Never -- I don't use version control for my R code,Microsoft Excel,NA,"Error messages, Finding proper packages to use, Getting started",NA,Early Learner,female
2018-12-06T16:05:52Z,Military,NA,Consultant or Advisor,Python,R,Intermediate,2016,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I thought it would open new career opportunities,More than once a day,5,1,No,Occasionally,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Text processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,Prefer not to answer,"Master’s degree (e.g. MA, MS, MEd)",NA,Sometimes -- I use version control on critical parts of my work,Microsoft Excel,NA,"Finding proper packages to use, Getting started, Managing packages",NA,Early Learner,NA
2018-12-06T16:06:00Z,Not Employed,NA,Student,"Excel, SPSS",SPSS,Beginner,2018,Months,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,2,Yes,Usually,I don't know what Shiny is.,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,NA,NA,NA,NA,1995,male,Australia,White,"Bachelor’s degree (e.g. BA, BS)",NA,I don't know what version control is.,SPSS,NA,"Error messages, Finding proper packages to use, Language syntax",NA,Recent Learner,male
2018-12-06T16:07:10Z,Research,Post doctoral researcher,Researcher,"Excel, Python, SAS, SPSS, Visual Basic",Visual Basic,Intermediate,2012,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,4,No,Occasionally,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,The constant learning and immediate satisfaction of solving issues.,Incompatibility between some packages versions and R versions,10,"Statistical analysis, Data transformation, Visualization",NA,NA,Ggplot,Translation of some errors to a more intuitive language.,NA,Hard to say. Since I started till today the amount of tools to learn it have increased and diversify. I started with tinnR for instance. R studio made a difference for me.,1982,female,Germany,Hispanic/Latinx,"Doctorate (e.g. PhD, EdD)",15,Never -- I don't use version control for my R code,"RStudio Desktop (IDE), Shinyapps.io",NA,"Finding proper packages to use, Language syntax",NA,Early Learner,female
2018-12-06T16:08:36Z,Financial Services and Activities,Analytics manager,Management,"Excel, PHP, Python, SAS, Tableau",Excel,Intermediate,2016,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I thought it would open new career opportunities,More than once a day,5,4,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,Reproducibility,"Firewall, company governance preventing access to packages",9,"Data transformation, Visualization",NA,NA,Tidyverse,Oracle connectivity,NA,None,NA,m,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",10,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, Python, RStudio Desktop (IDE)",NA,"Data types, Documentation, Getting started, Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T16:09:02Z,Health Care and Medicine,Epidemiologist,Medical professional,"Excel, Python, SAS, Visual Basic",SPSS,Intermediate,2017,Months,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,Data visualisation tools,How it handles memory,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Medicine",NA,NA,Tidyverse,Tools to manipulate electronic health records (which have a common data model published),NA,Not sure,1979,male,United Kingdom,White,"Professional degree (e.g. MD, DDS, DVM)",2,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Jupyter Notebooks, Microsoft Excel, Python, RStudio Desktop (IDE), SAS",NA,"Error messages, Language irregularities",NA,Recent Learner,male
2018-12-06T16:09:17Z,Education,NA,Researcher,"Excel, Javascript, Matlab, Python, Swift",Excel,Intermediate,2009,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,One or more members of the R community encouraged me to learn it,More than once a day,5,3,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,NA,NA,10,Text processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frequently -- I use version control on most of the code that I write,"RStudio.cloud, RStudio Desktop (IDE), RStudio Server Pro, Shinyapps.io",NA,Documentation,NA,Early Learner,NA
2018-12-06T16:10:08Z,Research,Postdoctoral researcher,Researcher,None,R,Intermediate,2012,Years,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Rarely,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,NA,NA,NA,NA,1987,female,United States of America,White,"Doctorate (e.g. PhD, EdD)",5,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,Getting started,NA,Early Learner,female
2018-12-06T16:10:34Z,Research,Ststistician,Student,"Excel, Python, SAS, SPSS, Tableau",C/C++,Intermediate,2016,I don't feel proficient in R yet.,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,4,3,No,Occasionally,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,Statistical analyse,NA,10,"Statistical analysis, Data transformation, Modeling, Survey analysis",NA,NA,"Dplyr, rmarkdown, car..",I have not any idea,NA,I have never tought,1997,female,Turkey,I'm anatolian,High school degree or equivalent (e.g. GED),NA,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface), RStudio Connect, RStudio Desktop (IDE), SAS, Shiny Server, SPSS",NA,"Finding proper packages to use, Managing packages",NA,Early Learner,female
2018-12-06T16:11:26Z,Education,Assistant Professor,Researcher,"Excel, Matlab, Python, SAS, Visual Basic",Visual Basic,Expert,2006,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,Never -- I don't use Shiny.,Rarely -- I only write unit tests in situations that require it,It makes analysis and data organization quick and easy.,"To make it work for you well, you need to learn quite a bit.",10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,Now that I'm hooked? The whole tidyverse.,"Intuitive coupling between models and visualizations with the easy ability to visualize uncertainty. modelr comes close, but it's bad about bringing in uncertainty from model fits, and you still have to do a great deal of work to shoehorn things into a visualization.",NA,Easier rowwise workflows.,1978,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",30,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Documentation, Finding proper packages to use",NA,Early Learner,male
2018-12-06T16:11:42Z,Research,NA,Researcher,"Excel, Matlab, Python",Excel,Intermediate,2015,Years,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,4,3,No,Rarely,I don't know what Shiny is.,Never -- I don't write unit tests,Consistent,Too many data types,8,"Statistical analysis, Data transformation, Visualization, Genomics",NA,NA,Ggplot,Efficient loop,NA,NA,1995,woman,Netherlands,White,"Master’s degree (e.g. MA, MS, MEd)",10,Never -- I don't use version control for my R code,"Microsoft Excel, RStudio Desktop (IDE)",NA,Data types,NA,Early Learner,female
2018-12-06T16:11:56Z,Arts and Entertainment,NA,Data scientist or analyst,"C/C++, Excel, Javascript, Matlab, PHP, Python, SAS, SPSS, Tableau, Visual Basic",Excel,Intermediate,2011,Months,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,No,Occasionally,Frequently -- I frequently use or build Shiny applications,Sometimes -- I write unit tests when I have code that is critical to my project or work,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,Dplyr and ggplot2 (even though did not use originally),More integration with Python and production code,NA,NA,1989,male,United States of America,White,"Bachelor’s degree (e.g. BA, BS)",NA,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, RStudio Desktop (IDE), Shinyapps.io, Shiny Server",NA,"Data types, Language syntax",NA,Early Learner,male
2018-12-06T16:12:00Z,Research,NA,Researcher,"C/C++, Excel, Perl",Perl,Beginner,2003,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,1,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Sometimes -- I write unit tests when I have code that is critical to my project or work,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Survey analysis",NA,NA,NA,NA,NA,NA,1975,male,Japan,Asian,"Doctorate (e.g. PhD, EdD)",3,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,Finding proper packages to use,NA,Early Learner,male
2018-12-06T16:12:29Z,Research,PhD Student,Researcher,"Excel, Python, Stata",Stata,Intermediate,2014,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,Yes,Usually,Never -- I don't use Shiny.,Rarely -- I only write unit tests in situations that require it,Great documentation and learning materials.,"RStudio slows down my computer (Windows OS). Great to see RStudio connect and I use RStudio Server for large jobs, but for local work my computer slows to a crawl.",10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Survey analysis",NA,NA,dplyr,NA,NA,NA,1981,male,United States of America,White,"Professional degree (e.g. MD, DDS, DVM)",5,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Microsoft Excel, Python, RStudio Desktop (IDE), RStudio Server, Stata, Spark",NA,"Using the R command line interface, Non-standard evaluation",NA,Early Learner,male
2018-12-06T16:12:54Z,Education,NA,Educator,"Excel, Javascript, PHP, Python",PHP,Intermediate,2014,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,3,Yes,Usually,Frequently -- I frequently use or build Shiny applications,Rarely -- I only write unit tests in situations that require it,How easy certain operations can be.,Object oriented programming,9,"Statistical analysis, Data transformation, Visualization, Text processing, Geographical analysis",NA,NA,tidyverse,CRUD framework,NA,difference between brackets and double brackets,1987,male,Switzerland,White,"Master’s degree (e.g. MA, MS, MEd)",0,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, RStudio Desktop (IDE), RStudio Server, Shiny Server",NA,"Error messages, Language irregularities",NA,Early Learner,male
